	Переклад	Коментар
Ardonna	Ардонна	SotA, перс. протагоністка кампанії
Blackwater Port	Чорні Води	портове місто біля Перлової затоки у Весноті
Clearwater Port	Чисті Води	одне з найбільших портових міст Зеленого Острову, також назва королівства
Southbay	Південна Бухта	найбільше місто Зеленого Острову, також назва королівства
campaign	кампанія	послідовність сценаріїв, що мають спільний сюжет і дійових осіб
Cancel	Скасувати	кноп. кнопка, що скасовує дію
Beginner	початкова	складн. подається у селекторі складності в дужках поряд із «метафоричною» складністю; з великої лише якщо подається без «метафоричної» складності.
Challenging	підвищена	складн. подається у селекторі складності в дужках поряд із «метафоричною» складністю; з великої лише якщо подається без «метафоричної» складності.
Corrupt	Гріх	SotA, складн. «метафоричне» подання підвищеної складності
Diabolic	Святотатство	SotA, складн. «метафоричне» подання дуже високої складності
Difficult	дуже висока	складн. подається у селекторі складності в дужках поряд із «метафоричною» складністю; з великої лише якщо подається без «метафоричної» складності.
Nightmare	жахіття	складн. подається у селекторі складності в дужках поряд із «метафоричною» складністю; з великої лише якщо подається без «метафоричної» складності.
enemy	противник	не «ворог», не «супротивник»
Llorvin	Ллорвін	SotA назва містечка з першого сценарію
Normal	звичайна	складн. подається у селекторі складності в дужках поряд із «художньою» складністю; з великої лише якщо подається без «художньої» складності.
Recruit	Завербувати	кноп. кнопка найму бойової одиниці
scenario	сценарій	складова кампанії
Secrets of the Ancients	Таємниці древніх	SotA, камп. назва кампанії
skeleton	кістяк	SotA, б.о. оживлений магією людський кістяк
skeleton-archer	кістяк-лучник	SotA, б.о. оживлений магією людський кістяк, що стріляє з лука
unit	бойова одиниця	у найзагальнішому розумінні
Unpleasant	Неприємність	SotA, складн. «художнє» подання звичайної складності
YW	р.В.	скор. рік [епохи] Веснота
leader	командир	б.о. «головний» персонаж або протагоніст, що може наймати бойові одиниці тощо
Whitefire	Білополум'я	Перший місяць календаря Весноту
Bleeding Moon	Кров'яномісяць	Другий місяць календаря Весноту
Scatterseed	Землесіяння	Третій місяць календаря Весноту
Deeproot	Глибокоріння	Четвертий місяць календаря Весноту
Scryer’s Bloom	Ворожбоцвіт	П'ятий місяць календаря Весноту
Thorntress	Шипівня	Шостий місяць календаря Весноту
Summit Star	Верхозірка	Сьомий місяць календаря Весноту
Kindlefire	Вогнеспалах	Восьмий місяць календаря Весноту
Stillseed	Семеностояння	Дев'ятий місяць календаря Весноту
Reaper’s Moon	Жнивомісяць	Десятий місяць календаря Весноту
Verglas Bloom	Ожеледецвіт	Одинадцятий місяць календаря Весноту
Blackfire	Чорнополум'я	Дванадцятий місяць календаря Весноту
keep	цитадель	центральна частина замку
castle	замок	
Necrophage	Трупожер	б.о. (мерці)
Ghast	Почвара	б.о. (мерці)
Ghoul	Гуль	б.о. (мерці)
Vampire Bat	Вампір	б.о. (кажани)
Blood Bat	Кривавець	б.о. (кажани)
Dread Bat	Летючий жах	б.о. (кажани)
Ras-Tabahn	Рас-Табан	SotA, перс. відмінювати як подвійне ім'я (Раса-Табана, Расе-Табане тощо)
elf	ельф	ч.р.
elf	ельфиня	ж.р.
orc	орк	ч.р.
orc	орчиця	ж.р.
undead	мертвяки	загалом
undead	мертвяк	ч.р.
undead	мертвячка	ж.р.
Blackmore	Чорнотоп	Невелике місто Зеленого Острову, поблизу з невідомим болотом(у моєму аддоні має назву Inky Moor).
Oldwood	Древній ліс	Ліс у центрі Зеленого Острову. Там Хальдрік І зустрів лісовиків, що вказали йому на Рубін Вогню(за старою версією trow).
Esten Swamp	Естенське болото	Прокляте болото Зеленого Острову, що утворилося під час першої війни з західняками(у моєму аддоні на місці болота було місто Естен).
Stormvale	Долина Штормів / Штормова долина	Батьківщина Хальдріка І, назва королівства.
Jevyan's Haven	Бухта Жев'яна / Жев'янів Прихисток	Місцезнаходження Владики-Ліча Жев'яна, а також більшості людей Заходу.
Broken Mountains	Ламані гори	Найбільші гори Зеленого Острову.
Fallen Lich Point	Мис Полеглого Ліча	Місце, де було переможено Владику-Ліча Карора.
Heart Mountains	Серцегір'я	Найбільші гори поблизу Весноту, тут живуть гноми різних кланів, включаючи Кналгу.
Spellkeep	Чаровежа	Якась вежа поблизу Йоти. Ймовірно, та ж, що і в AOI.
Bitok	Біток	Якесь місто поблизу Дортових Гір.
Jotha	Йота	Місто водяників з DW.
Dorth Mountains	Дортові гори	Гори на півночі від Серцегір'я.
Shimmering Isle	Мерехтливий острів	Острів у Великому Океані.
Bilheld	Більхельд	Острів у Великому Океані, також там знаходиться багато жриць водяниць(DW)
Glamdrol	Ґламдрол	Оркська(?) фортеця на півночі від Весмірського лісу.Carcyn	Карцин	SotA, назва містечка
